path	author	sex	birthday	header	created	sphere	genre_fi	type	topic	chronotop	style	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	country		region	language
C:\search\corpora\2015\10\				Ульяновская правда - Александр Панкратов-Черный и Зоя Буряк о любви, Украине и России	20.10.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19430	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - александр панкратов-черный и зоя буряк о любовь, украина и россия

C:\search\corpora\2015\10\				Ульяновская правда - В Ульяновске закрылась выставка Никаса Сафронова «Избранное»	19.10.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19396	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - в ульяновск закрываться выставка никас сафронов «избранный»

C:\search\corpora\2015\10\				Ульяновская правда - В Ульяновске Кристина Орбакайте «лечилась» золотыми патчами	16.10.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19381	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - в ульяновск кристина орбакайте «лечиться» золотой патч

C:\search\corpora\2015\10\				Ульяновская правда - До 500 зрителей в день посещают выставку Никаса Сафронова в Ульяновске в Мемориале	15.10.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19326	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - до 500 зритель в день посещать выставка никас сафронов в ульяновск в мемориал

C:\search\corpora\2015\10\				Ульяновская правда - Софи Лорен и Никас Сафронов готовят совместную выставку картин и портретов	14.10.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19300	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - софи лорен и никас сафронов готовить совместный выставка картина и портрет

C:\search\corpora\2015\10\				Ульяновская правда - Блондинка Арбенина показала Ульяновск маме	06.10.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19090	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - блондинка арбенин показывать ульяновск мама

C:\search\corpora\2015\10\				Ульяновская правда - Литературовед Павел Басинский расскажет ульяновцам о семейной драме Льва Толстого	05.10.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19056	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - литературовед павел басинский рассказывать ульяновец о семейный драма лев толстой

C:\search\corpora\2015\10\				Ульяновская правда - Ульяновский актер Илья Савельев снялся в сериале «Отпуск по ранению»	02.10.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-19003	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - ульяновский актер илья савельев сниматься в сериал «отпуск по ранение»

C:\search\corpora\2015\09\				Ульяновская правда - Жорес Трофимов рассказал о новых изданиях	28.09.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-18881	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - жорес трофимов рассказывать о новый издание

C:\search\corpora\2015\09\				Ульяновская правда - В Ульяновске открывается выставка Никаса Сафронова	11.09.2015.	публицистика					нейтральный	н-возраст	н-уровень	городская	http://ulpravda.ru/news/news-18489	Ульяновская правда		2015	газета	Россия	Ульяновская область	ru	ульяновский правда - в ульяновск открываться выставка никас сафронов
